emp_no,salary,from_date,to_date
10001,60117,1986-06-26,1987-06-26
10002,85000,2001-08-02,9999-01-01
10003,40006,1995-12-03,1996-12-02
10004,40054,1986-12-01,1987-12-01
10005,94692,2001-09-09,9999-01-01
10006,59755,2001-08-02,9999-01-01
10007,56724,1989-02-10,1990-02-10
10008,46671,1998-03-11,1999-03-11
10009,60929,1985-02-18,1986-02-18
10010,72488,1996-11-24,1997-11-24
10011,56753,1996-01-21,1996-11-09
10012,40000,1992-12-18,1993-12-18
10013,68901,2001-10-16,9999-01-01
10014,46168,1993-12-29,1994-12-29
10015,40000,1992-09-19,1993-08-22
10016,70889,1998-02-11,1999-02-11
10017,99651,2002-08-01,9999-01-01
10018,55881,1987-04-03,1988-04-02
10019,50032,2002-04-29,9999-01-01
10020,40000,1997-12-30,1998-12-30
10022,40000,1999-09-03,2000-09-02
10022,41348,2001-09-02,9999-01-01
10023,47883,1999-09-27,2000-09-26
10024,83733,1998-06-14,1999-06-14
10025,57157,1997-08-14,1997-10-15
10026,47585,1995-03-20,1996-03-19
10027,46145,2002-03-31,9999-01-01
10028,48859,1991-10-22,1992-10-21
10252,89000,2024-01-25,9999-01-01
10253,45000,1990-01-25,9999-01-01
